Product type,SKU,Order_Date,Manufacturing_Date,Shipping_Date,Order_Year,Order_Quarter,Order_Month_Num,Order_Month_Name,Order_DayOfWeek,Price,Availability,Number of products sold,Unverified_Revenue_or_Profit,Customer demographics,Stock levels,Supplier_Lead_Time_Days,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Manufacturing_Lead_Time_Days,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect_Rate_Percentage,Transportation modes,Routes,Total_Operational_Costs,Expected_Revenue,Revenue_Diff_Abs,Revenue_Mismatch_Flag,Is_Backorder,Inspection_Original,Inspection_Was_Incorrect
skincare,SKU10,2023-08-03,2023-07-01,2023-08-05,2023,Q3,8,Aug,Thursday,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pending,1.73,Road,Route B,806.103177702923,15644.96,13313.99,True,False,Pass,True
skincare,SKU11,2023-11-27,2023-10-05,2023-11-28,2023,Q4,11,Nov,Monday,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pass,0.02,Air,Route A,126.72303340940724,87010.04,80910.1,True,False,Pending,True
haircare,SKU12,2024-04-03,2024-02-29,2024-04-07,2024,Q2,4,Apr,Wednesday,71.21338907536008,41,336,2873.7414460214413,Not_Specified,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Pending,2.16,Road,Route B,402.9687890737706,23927.7,21053.96,True,False,Fail,True
skincare,SKU13,2023-03-29,2023-02-22,2023-04-07,2023,Q1,3,Mar,Wednesday,16.160393317379977,5,249,4052.738416237866,Male,80,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,Pending,1.63,Road,Route B,547.2410051609685,4023.94,28.8,True,False,Pending,False
skincare,SKU14,2024-01-08,2023-11-14,2024-01-13,2024,Q1,1,Jan,Monday,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pass,0.1,Air,Route B,929.2352899608896,55734.29,47080.72,True,False,Pending,True
skincare,SKU15,2023-04-10,2023-03-15,2023-04-17,2023,Q2,4,Apr,Monday,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pending,2.26,Sea,Route B,127.8618000016254,17347.96,11905.87,True,False,Pass,True
skincare,SKU16,2024-10-25,2024-10-15,2024-10-26,2024,Q4,10,Oct,Friday,7.547172109791272,74,280,6453.797968176285,Female,2,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,Pending,1.01,Air,Route A,865.5257797712403,2113.21,4340.59,True,False,Pass,True
cosmetics,SKU17,2023-05-11,2023-04-16,2023-05-20,2023,Q2,5,May,Thursday,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Pass,0.1,Air,Route C,670.9343907924103,10264.28,7634.88,True,False,Fail,True
haircare,SKU18,2024-10-23,2024-09-20,2024-10-31,2024,Q4,10,Oct,Wednesday,36.443627770460935,23,620,9364.673505076173,Not_Specified,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.23,Sea,Route A,593.4802587206518,22595.05,13230.38,True,False,Pending,False
skincare,SKU19,2023-11-05,2023-10-02,2023-11-08,2023,Q4,11,Nov,Sunday,51.12387008796474,100,187,2553.495584991215,Not_Specified,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Pending,3.65,Road,Route C,477.3076310909034,9560.16,7006.66,True,False,Fail,True
skincare,SKU20,2023-12-10,2023-10-26,2023-12-16,2023,Q4,12,Dec,Sunday,96.34107243996338,22,320,8128.027696851192,Not_Specified,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pending,4.23,Air,Route B,493.87121531620585,30829.14,22701.11,True,False,Pass,True
cosmetics,SKU21,2024-05-06,2024-03-20,2024-05-12,2024,Q2,5,May,Monday,84.89386898495083,60,601,7087.052696357437,Not_Specified,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pass,0.02,Air,Route C,523.360914720158,51021.22,43934.17,True,False,Pending,True
haircare,SKU22,2024-02-18,2024-01-23,2024-02-28,2024,Q1,2,Feb,Sunday,27.67978088650196,55,884,2390.8078665561734,Not_Specified,71,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Pending,2.59,Rail,Route C,205.57199582694707,24468.93,22078.12,True,False,Fail,True
cosmetics,SKU23,2024-01-21,2024-01-04,2024-01-28,2024,Q1,1,Jan,Sunday,4.324341185864164,30,391,8858.367571011484,Not_Specified,84,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,Pending,1.34,Rail,Route A,196.32944611241268,1690.82,7167.55,True,False,Pending,False
haircare,SKU24,2023-07-11,2023-05-15,2023-07-19,2023,Q3,7,Jul,Tuesday,4.156308359311108,32,209,9049.077860939897,Male,4,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,Pending,3.69,Air,Route A,758.7247726029383,868.67,8180.41,True,False,Pending,False
haircare,SKU25,2023-10-04,2023-08-30,2023-10-07,2023,Q4,10,Oct,Wednesday,39.62934398509263,73,142,2174.777054350654,Male,82,11,52,3,Carrier C,2.231073681281728,Supplier 4,Kolkata,19,934,23,78.28038311841539,Pending,3.8,Road,Route B,458.535945739209,5627.37,3452.59,True,False,Pending,False
haircare,SKU26,2023-06-10,2023-04-26,2023-06-14,2023,Q2,6,Jun,Saturday,97.44694661789282,9,353,3716.493325894037,Male,59,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,Pending,2.12,Rail,Route A,617.8669164583772,34398.77,30682.28,True,False,Pass,True
cosmetics,SKU27,2024-04-04,2024-02-29,2024-04-12,2024,Q2,4,Apr,Thursday,92.55736081240202,42,352,2686.457223575984,Not_Specified,47,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,Pending,2.86,Sea,Route B,762.4591821556837,32580.19,29893.73,True,False,Fail,True
cosmetics,SKU28,2023-11-10,2023-10-08,2023-11-14,2023,Q4,11,Nov,Friday,2.397274705597141,12,394,6117.324615083992,Female,48,15,24,4,Carrier B,9.898140508069222,Supplier 1,Mumbai,13,171,7,59.42938181069157,Pass,0.82,Air,Route A,123.43702751182708,944.53,5172.79,True,False,Fail,True
cosmetics,SKU29,2023-01-22,2022-12-30,2023-01-29,2023,Q1,1,Jan,Sunday,63.44755918520733,3,253,8318.903194617178,Female,45,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,Pending,3.88,Road,Route B,764.9353759407081,16052.23,7733.33,True,False,Pass,True
haircare,SKU30,2023-09-10,2023-07-16,2023-09-17,2023,Q3,9,Sep,Sunday,8.022859210526393,10,327,2766.342366866089,Male,60,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,Pass,0.97,Road,Route C,880.080988247161,2623.47,142.87,True,False,Pending,True
skincare,SKU31,2024-07-14,2024-06-02,2024-07-18,2024,Q3,7,Jul,Sunday,50.8473930517187,28,168,9655.135102719398,Male,6,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,Pending,2.99,Rail,Route C,609.3792066184267,8542.36,1112.78,True,False,Pending,False
skincare,SKU32,2024-04-19,2024-03-05,2024-04-23,2024,Q2,4,Apr,Friday,79.20993601565672,43,781,9571.55048732782,Not_Specified,89,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,Pending,1.95,Road,Route A,761.1739095148776,61862.96,52291.41,True,False,Pass,True
cosmetics,SKU33,2023-02-28,2023-02-08,2023-03-09,2023,Q1,2,Feb,Tuesday,64.7954350001556,63,616,5149.9983504080365,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,Pending,3.54,Sea,Route A,371.255295519871,39913.99,34763.99,True,False,Fail,True
skincare,SKU34,2024-05-25,2024-04-21,2024-06-01,2024,Q2,5,May,Saturday,37.46759232984246,96,602,9061.710895507724,Not_Specified,1,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,Pass,0.65,Road,Route B,510.3580004335235,22555.49,13493.78,True,False,Pass,False
cosmetics,SKU35,2024-11-12,2024-10-08,2024-11-20,2024,Q4,11,Nov,Tuesday,84.95778681635043,11,449,6541.329344802465,Female,42,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,Pass,0.54,Sea,Route C,553.4204712303558,38146.05,31604.72,True,False,Pass,False
skincare,SKU36,2024-04-20,2024-02-28,2024-04-23,2024,Q2,4,Apr,Saturday,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Pending,3.81,Air,Route C,403.8089742481805,9449.92,1876.52,True,False,Fail,True
skincare,SKU37,2024-11-30,2024-10-28,2024-12-09,2024,Q4,11,Nov,Saturday,23.39984475261435,5,963,2438.339930470029,Female,25,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.61,Sea,Route A,183.9329680435944,22534.05,20095.71,True,False,Pending,False
cosmetics,SKU38,2023-07-09,2023-06-24,2023-07-14,2023,Q3,7,Jul,Sunday,52.0759306827078,75,705,9692.318040218432,Non-binary,69,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pass,0.61,Air,Route B,339.6728699486061,36713.53,27021.21,True,False,Pending,True
skincare,SKU39,2024-11-17,2024-09-14,2024-11-20,2024,Q4,11,Nov,Sunday,19.127477265823256,26,176,1912.4656631007608,Female,78,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,Pending,1.45,Air,Route B,653.6729945520332,3366.44,1453.97,True,False,Fail,True
skincare,SKU40,2024-07-16,2024-06-04,2024-07-24,2024,Q3,7,Jul,Tuesday,80.54142417094033,97,933,5724.959350456265,Female,90,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,Pending,4.21,Road,Route A,529.8087239806919,75145.15,69420.19,True,False,Pending,False
skincare,SKU41,2024-07-20,2024-06-08,2024-07-28,2024,Q3,7,Jul,Saturday,99.11329161531717,35,556,5521.205259010972,Female,64,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,Pass,0.05,Sea,Route A,275.5243711313098,55106.99,49585.78,True,False,Fail,True
skincare,SKU42,2023-09-01,2023-07-05,2023-09-05,2023,Q3,9,Sep,Friday,46.52916761451677,98,155,1839.609425856764,Female,22,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,Pending,4.94,Road,Route A,635.6571205019919,7212.02,5372.41,True,False,Fail,True
haircare,SKU43,2024-05-19,2024-04-16,2024-05-28,2024,Q2,5,May,Sunday,11.74327177630924,6,598,5737.425599119023,Not_Specified,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,Pass,0.37,Air,Route A,716.0441197593407,7022.48,1285.05,True,False,Pending,True
cosmetics,SKU44,2023-05-11,2023-04-10,2023-05-17,2023,Q2,5,May,Thursday,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,Pending,2.96,Rail,Route A,610.4532696192277,47195.97,40043.68,True,False,Fail,True
haircare,SKU45,2024-04-29,2024-03-24,2024-05-05,2024,Q2,4,Apr,Monday,33.78413803306551,1,24,5267.956807510521,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.31254443999165,Pending,3.22,Rail,Route A,495.305697028474,810.82,4457.14,True,False,Pass,True
haircare,SKU46,2024-10-08,2024-08-17,2024-10-16,2024,Q4,10,Oct,Tuesday,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.65,Road,Route B,380.4359371119643,23263.62,20706.85,True,False,Pending,False
skincare,SKU47,2023-01-21,2022-12-24,2023-01-30,2023,Q1,1,Jan,Saturday,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pass,0.38,Rail,Route A,581.6023550505868,87098.04,80008.57,True,False,Pending,True
haircare,SKU48,2023-06-16,2023-05-19,2023-06-19,2023,Q2,6,Jun,Friday,76.03554442689172,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,Supplier 2,Mumbai,9,109,18,23.126363582464776,Pending,1.7,Rail,Route B,768.65191395437,2205.03,5192.04,True,False,Fail,True
cosmetics,SKU49,2023-10-01,2023-08-06,2023-10-07,2023,Q4,10,Oct,Sunday,78.89791320564004,19,99,8001.613206519002,Not_Specified,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,Pending,2.83,Rail,Route A,336.8901685199779,7810.89,190.72,True,False,Pass,True
cosmetics,SKU50,2024-01-23,2023-12-09,2024-02-02,2024,Q1,1,Jan,Tuesday,14.203484264803022,91,633,5910.885389668899,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,Pending,4.75,Rail,Route B,496.24865029194046,8990.81,3079.92,True,False,Fail,True
haircare,SKU51,2024-08-23,2024-07-30,2024-08-24,2024,Q3,8,Aug,Friday,26.70076097246173,61,154,9866.465457979695,Male,100,4,52,1,Carrier A,4.783000557947665,Supplier 5,Bangalore,18,673,28,14.19032834456998,Pending,1.77,Road,Route A,694.9823175794459,4111.92,5754.55,True,False,Pending,False
skincare,SKU52,2023-11-12,2023-10-17,2023-11-13,2023,Q4,11,Nov,Sunday,98.03182965646508,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.12,Air,Route C,602.8984988383834,80386.1,70950.34,True,False,Pending,False
skincare,SKU53,2023-01-14,2022-12-18,2023-01-17,2023,Q1,1,Jan,Saturday,30.34147071121421,93,242,8232.334829425821,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,Pending,1.41,Air,Route B,750.7378406682709,7342.64,889.69,True,False,Pending,False
haircare,SKU54,2023-08-30,2023-07-08,2023-09-02,2023,Q3,8,Aug,Wednesday,31.146243160240854,11,622,6088.021479940859,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,Pending,2.48,Road,Route B,814.0699965821875,19372.96,13284.94,True,False,Pass,True
haircare,SKU55,2023-12-12,2023-10-31,2023-12-17,2023,Q4,12,Dec,Tuesday,79.85505834078943,16,701,2925.6751703038126,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Pending,4.55,Sea,Route B,323.01292795247883,55978.4,53052.72,True,False,Fail,True
skincare,SKU56,2024-07-18,2024-05-28,2024-07-23,2024,Q3,7,Jul,Thursday,20.986386037043378,90,93,4767.020484344137,Non-binary,25,23,83,5,Carrier C,1.7744297140717396,Supplier 1,Mumbai,24,826,28,12.836284572832753,Pending,1.17,Air,Route B,832.2108087060217,1951.73,2815.29,True,False,Pass,True
haircare,SKU57,2023-12-06,2023-10-24,2023-12-07,2023,Q4,12,Dec,Wednesday,49.26320535073416,65,227,1605.8669003924058,Not_Specified,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,Pending,2.51,Rail,Route A,482.1912386025281,11182.75,9576.88,True,False,Pending,False
skincare,SKU58,2023-04-02,2023-03-06,2023-04-09,2023,Q2,4,Apr,Sunday,59.84156137728931,81,896,2021.149810337108,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Pending,1.73,Road,Route B,110.36433523136472,53618.04,51596.89,True,False,Fail,True
cosmetics,SKU59,2024-01-02,2023-12-02,2024-01-09,2024,Q1,1,Jan,Tuesday,63.828398347710966,30,484,1061.618523013288,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,Pass,0.45,Air,Route A,312.5742736100933,30892.94,29831.32,True,False,Fail,True
skincare,SKU60,2024-03-30,2024-01-31,2024-04-07,2024,Q1,3,Mar,Saturday,17.028027920188702,16,380,8864.084349586436,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,Pending,2.85,Rail,Route A,430.1690969751365,6470.65,2393.43,True,False,Fail,True
haircare,SKU61,2024-03-03,2024-01-24,2024-03-10,2024,Q1,3,Mar,Sunday,52.02874990329492,23,117,6885.589350896253,Not_Specified,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,Pending,4.37,Air,Route A,164.36652824341942,6087.36,798.23,True,False,Fail,True
cosmetics,SKU62,2024-05-23,2024-05-04,2024-05-30,2024,Q2,5,May,Thursday,72.79635395558736,89,270,3899.746833729224,Not_Specified,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,Pending,1.87,Sea,Route C,320.8465157591116,19655.02,15755.27,True,False,Pass,True
skincare,SKU63,2023-02-04,2022-12-28,2023-02-08,2023,Q1,2,Feb,Saturday,13.017376785287857,55,246,4256.949140850225,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.075003975630484,Pending,3.63,Sea,Route A,687.2861778664173,3202.27,1054.68,True,False,Pending,False
skincare,SKU64,2023-07-25,2023-06-10,2023-07-31,2023,Q3,7,Jul,Tuesday,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,Pass,0.16,Air,Route C,771.2250846811575,12010.97,3552.24,True,False,Fail,True
skincare,SKU65,2023-03-22,2023-02-09,2023-03-30,2023,Q1,3,Mar,Wednesday,33.69771720664313,72,457,8354.579686481995,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,Pending,4.91,Rail,Route C,555.8591036717435,15399.86,7045.28,True,False,Fail,True
skincare,SKU66,2024-07-15,2024-06-03,2024-07-23,2024,Q3,7,Jul,Monday,26.03486977396209,52,704,8367.721618020154,Female,13,17,19,8,Carrier A,2.216142728771364,Supplier 5,Kolkata,24,867,28,42.08443673830996,Pending,3.45,Road,Route A,393.8433485784279,18328.55,9960.83,True,False,Fail,True
skincare,SKU67,2024-01-23,2024-01-01,2024-02-01,2024,Q1,1,Jan,Tuesday,87.75543235400107,16,513,9473.798032508335,Not_Specified,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,Pass,0.13,Sea,Route C,169.2718013847869,45018.54,35544.74,True,False,Pass,False
haircare,SKU68,2023-01-02,2022-12-22,2023-01-10,2023,Q1,1,Jan,Monday,37.93181238279032,29,163,3550.218432780992,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,Pending,1.98,Rail,Route A,299.7063031181032,6182.89,2632.67,True,True,Fail,True
skincare,SKU69,2024-01-25,2024-01-11,2024-01-28,2024,Q1,1,Jan,Thursday,54.86552851706979,62,511,1752.3810874841247,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,Pending,1.36,Air,Route A,207.6632062085756,28036.29,26283.91,True,False,Pending,False
haircare,SKU70,2024-07-19,2024-06-10,2024-07-23,2024,Q3,7,Jul,Friday,47.914541824058766,90,32,7014.887987203389,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,Bangalore,22,775,16,11.440781823761265,Pending,1.83,Road,Route C,183.272898748711,1533.27,5481.62,True,False,Pass,True
cosmetics,SKU71,2023-04-16,2023-04-11,2023-04-22,2023,Q2,4,Apr,Sunday,6.381533162747966,14,637,8180.337085425443,Female,76,2,26,6,Carrier A,9.228190317052515,Supplier 2,Bangalore,2,258,10,30.66167747785956,Pending,2.08,Road,Route A,405.1670678888559,4065.04,4115.3,True,False,Pending,False
cosmetics,SKU72,2024-04-21,2024-02-28,2024-04-30,2024,Q2,4,Apr,Sunday,90.20442752052809,88,478,2633.121981312256,Non-binary,57,29,77,9,Carrier A,6.599614159689544,Supplier 1,Bangalore,21,152,11,55.76049289524421,Pending,3.21,Rail,Route B,677.9445698461833,43117.72,40484.6,True,False,Pending,False
cosmetics,SKU73,2024-12-03,2024-10-23,2024-12-08,2024,Q4,12,Dec,Tuesday,83.8510176813046,41,375,7910.886916140686,Male,17,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Chennai,13,444,4,46.87023879761716,Pending,4.62,Road,Route A,866.4728001296578,31444.13,23533.24,True,False,Fail,True
haircare,SKU74,2024-02-06,2024-01-29,2024-02-11,2024,Q1,2,Feb,Tuesday,3.170011413566155,64,904,5709.945295969287,Female,41,6,1,5,Carrier A,5.237654650037448,Supplier 4,Delhi,1,919,9,80.58085215644782,Pass,0.4,Rail,Route A,341.55265678322337,2865.69,2844.26,True,False,Fail,True
skincare,SKU75,2024-12-30,2024-11-10,2025-01-09,2024,Q4,12,Dec,Monday,92.99688423397066,29,106,1889.073589779335,Non-binary,16,20,56,10,Carrier C,2.473897761045461,Supplier 1,Chennai,25,759,11,48.06478264000659,Pending,2.03,Air,Route C,873.1296480176514,9857.67,7968.6,True,False,Pass,True
haircare,SKU76,2024-07-09,2024-06-12,2024-07-19,2024,Q3,7,Jul,Tuesday,69.10879954743032,23,241,5328.375984297758,Male,38,1,22,10,Carrier A,7.054538336836926,Supplier 2,Bangalore,25,985,24,64.32359779560022,Pending,2.18,Rail,Route A,997.4134501331946,16655.22,11326.84,True,False,Pending,False
haircare,SKU77,2023-06-11,2023-04-15,2023-06-15,2023,Q2,6,Jun,Sunday,57.44974295897148,14,359,2483.7601775427947,Not_Specified,96,28,57,4,Carrier B,6.780946625617895,Supplier 1,Kolkata,26,334,5,42.95244474899184,Pending,3.06,Road,Route B,852.56809891985,20624.46,18140.7,True,False,Pass,True
haircare,SKU78,2023-07-21,2023-06-20,2023-07-26,2023,Q3,7,Jul,Friday,6.306883176111915,50,946,1292.4584179377562,Not_Specified,5,4,51,5,Carrier B,8.46704977086199,Supplier 5,Mumbai,25,858,21,71.12651472040338,Pending,4.1,Sea,Route C,323.59220343132216,5966.31,4673.85,True,False,Pending,False
haircare,SKU79,2023-09-27,2023-08-24,2023-09-28,2023,Q3,9,Sep,Wednesday,57.05703122110322,56,198,7888.723268427081,Non-binary,31,25,20,1,Carrier B,6.4963253642950445,Supplier 3,Bangalore,5,228,12,57.87090292403628,Pass,0.17,Air,Route C,351.50421933503867,11297.29,3408.57,True,False,Pending,True
